Title:,"Time Series, Area-Averaged of Snow depth water equivalent monthly 0.25 deg. [GLDAS Model (monthly)"
User Start Date:,1990-01-01T00:00:00Z
User End Date:,2019-12-31T23:59:59Z
User Bounding Box:,"-105.6762,40.2772,-105.6345,40.3008"
Data Bounding Box:,"-105.625,40.375,-105.625,40.375"
URL to Reproduce Results:,"https://giovanni.gsfc.nasa.gov/giovanni/#service=ArAvTs&starttime=1990-01-01T00:00:00Z&endtime=2019-12-31T23:59:59Z&bbox=-105.6762,40.2772,-105.6345,40.3008&data=FLDAS_NOAH01_C_GL_M_001_Qs_tavg%2CGLDAS_NOAH025_M_2_0_SWE_inst%2CGLDAS_NOAH025_M_2_1_SWE_inst%2CM2TMNXFLX_5_12_4_TLML(units%3DC)%2CM2SMNXEDI_1_PRCPTOT%2CNLDAS_NOAH0125_M_2_0_Qsm%2CNLDAS_NOAH0125_M_2_0_SnowDepth%2CNLDAS_NOAH0125_M_2_0_Streamflow&portal=GIOVANNI&format=json"
Fill Value (GLDAS_NOAH025_M_2_1_SWE_inst):, -9999

time, GLDAS_NOAH025_M_2_1_SWE_inst
2000-01-01 00:00:00,15.2316999
2000-02-01 00:00:00,33.1618958
2000-03-01 00:00:00,36.406208
2000-04-01 00:00:00,16.6857319
2000-05-01 00:00:00,0.442540318
2000-06-01 00:00:00,0.177916661
2000-07-01 00:00:00,0.000161290329
2000-08-01 00:00:00,0.000161290329
2000-09-01 00:00:00,0.801458359
2000-10-01 00:00:00,0.695604861
2000-11-01 00:00:00,11.2955418
2000-12-01 00:00:00,26.9037094
2001-01-01 00:00:00,39.3031044
2001-02-01 00:00:00,61.5370979
2001-03-01 00:00:00,65.5607681
2001-04-01 00:00:00,49.7842903
2001-05-01 00:00:00,1.56290329
2001-06-01 00:00:00,0.00100000005
2001-07-01 00:00:00,0
2001-08-01 00:00:00,0
2001-09-01 00:00:00,0.444708347
2001-10-01 00:00:00,0.785241961
2001-11-01 00:00:00,4.39637518
2001-12-01 00:00:00,14.4838705
2002-01-01 00:00:00,16.6176605
2002-02-01 00:00:00,13.0939283
2002-03-01 00:00:00,16.2384281
2002-04-01 00:00:00,1.18862498
2002-05-01 00:00:00,0.408669353
2002-06-01 00:00:00,0.000125000006
2002-07-01 00:00:00,0
2002-08-01 00:00:00,8.06451644e-05
2002-09-01 00:00:00,0.010708333
2002-10-01 00:00:00,3.0541532
2002-11-01 00:00:00,13.8627501
2002-12-01 00:00:00,8.95080662
2003-01-01 00:00:00,7.32516146
2003-02-01 00:00:00,18.5811157
2003-03-01 00:00:00,20.8528633
2003-04-01 00:00:00,15.8191252
2003-05-01 00:00:00,1.6958065
2003-06-01 00:00:00,0.00425000023
2003-07-01 00:00:00,0
2003-08-01 00:00:00,0
2003-09-01 00:00:00,0.00595833315
2003-10-01 00:00:00,0.0872177407
2003-11-01 00:00:00,4.77641678
2003-12-01 00:00:00,12.3420563
2004-01-01 00:00:00,16.1961689
2004-02-01 00:00:00,20.3086205
2004-03-01 00:00:00,9.48975849
2004-04-01 00:00:00,5.14470816
2004-05-01 00:00:00,1.01907253
2004-06-01 00:00:00,0.00695833331
2004-07-01 00:00:00,4.03225822e-05
2004-08-01 00:00:00,8.06451644e-05
2004-09-01 00:00:00,0.703249991
2004-10-01 00:00:00,1.69229841
2004-11-01 00:00:00,8.90754128
2004-12-01 00:00:00,31.5610085
2005-01-01 00:00:00,46.4896774
2005-02-01 00:00:00,51.0486603
2005-03-01 00:00:00,37.2962112
2005-04-01 00:00:00,25.0018749
2005-05-01 00:00:00,2.83092737
2005-06-01 00:00:00,1.0480417
2005-07-01 00:00:00,0.0002016129
2005-08-01 00:00:00,0
2005-09-01 00:00:00,0.00383333326
2005-10-01 00:00:00,4.44274187
2005-11-01 00:00:00,8.61154175
2005-12-01 00:00:00,22.827137
2006-01-01 00:00:00,32.5333481
2006-02-01 00:00:00,29.8444633
2006-03-01 00:00:00,30.5208473
2006-04-01 00:00:00,8.6152916
2006-05-01 00:00:00,0.410967737
2006-06-01 00:00:00,0.00137499999
2006-07-01 00:00:00,0
2006-08-01 00:00:00,8.06451644e-05
2006-09-01 00:00:00,1.45529163
2006-10-01 00:00:00,5.23322582
2006-11-01 00:00:00,4.91229153
2006-12-01 00:00:00,16.4015732
2007-01-01 00:00:00,46.128952
2007-02-01 00:00:00,51.72826
2007-03-01 00:00:00,31.7902412
2007-04-01 00:00:00,6.24295855
2007-05-01 00:00:00,0.992500007
2007-06-01 00:00:00,0.00483333319
2007-07-01 00:00:00,0
2007-08-01 00:00:00,0
2007-09-01 00:00:00,0.00170833338
2007-10-01 00:00:00,1.66439521
2007-11-01 00:00:00,0.966624975
2007-12-01 00:00:00,41.6637917
2008-01-01 00:00:00,67.8927841
2008-02-01 00:00:00,82.2303467
2008-03-01 00:00:00,79.672821
2008-04-01 00:00:00,42.3343315
2008-05-01 00:00:00,5.34245968
2008-06-01 00:00:00,0.00641666679
2008-07-01 00:00:00,0
2008-08-01 00:00:00,0
2008-09-01 00:00:00,0.00637499988
2008-10-01 00:00:00,0.0871774182
2008-11-01 00:00:00,3.47741675
2008-12-01 00:00:00,19.2944756
2009-01-01 00:00:00,31.7375813
2009-02-01 00:00:00,35.2178574
2009-03-01 00:00:00,11.0005245
2009-04-01 00:00:00,15.831708
2009-05-01 00:00:00,0.936532259
2009-06-01 00:00:00,0.703791678
2009-07-01 00:00:00,0
2009-08-01 00:00:00,4.03225822e-05
2009-09-01 00:00:00,0.157416672
2009-10-01 00:00:00,5.99495983
2009-11-01 00:00:00,6.65966654
2009-12-01 00:00:00,21.9295158
2010-01-01 00:00:00,64.9085922
2010-02-01 00:00:00,101.885666
2010-03-01 00:00:00,106.124962
2010-04-01 00:00:00,59.8647499
2010-05-01 00:00:00,5.81463718
2010-06-01 00:00:00,0.00449999981
2010-07-01 00:00:00,0.0002016129
2010-08-01 00:00:00,0
2010-09-01 00:00:00,0.000750000007
2010-10-01 00:00:00,1.56306458
2010-11-01 00:00:00,11.6820002
