"LTER_site","local_site","date","discharge","temperature","notes"
"NWT","alb",1981-11-13,NaN,NaN,NaN
"NWT","alb",1981-11-14,NaN,NaN,NaN
"NWT","alb",1981-11-15,NaN,NaN,NaN
"NWT","alb",1981-11-16,NaN,NaN,NaN
"NWT","alb",1981-11-17,NaN,NaN,NaN
"NWT","alb",1981-11-18,NaN,NaN,NaN
"NWT","alb",1981-11-19,NaN,NaN,NaN
"NWT","alb",1981-11-20,NaN,NaN,NaN
"NWT","alb",1981-11-21,NaN,NaN,NaN
"NWT","alb",1981-11-22,NaN,NaN,NaN
"NWT","alb",1981-11-23,NaN,NaN,NaN
"NWT","alb",1981-11-24,NaN,NaN,NaN
"NWT","alb",1981-11-25,NaN,NaN,NaN
"NWT","alb",1981-11-26,NaN,NaN,NaN
"NWT","alb",1981-11-27,NaN,NaN,NaN
"NWT","alb",1981-11-28,NaN,NaN,NaN
"NWT","alb",1981-11-29,NaN,NaN,NaN
"NWT","alb",1981-11-30,NaN,NaN,NaN
"NWT","alb",1981-12-01,NaN,NaN,NaN
"NWT","alb",1981-12-02,NaN,NaN,NaN
"NWT","alb",1981-12-03,NaN,NaN,NaN
"NWT","alb",1981-12-04,NaN,NaN,NaN
"NWT","alb",1981-12-05,NaN,NaN,NaN
"NWT","alb",1981-12-06,NaN,NaN,NaN
"NWT","alb",1981-12-07,NaN,NaN,NaN
"NWT","alb",1981-12-08,NaN,NaN,NaN
"NWT","alb",1981-12-09,NaN,NaN,NaN
"NWT","alb",1981-12-10,NaN,NaN,NaN
"NWT","alb",1981-12-11,NaN,NaN,NaN
"NWT","alb",1981-12-12,NaN,NaN,NaN
"NWT","alb",1981-12-13,NaN,NaN,NaN
"NWT","alb",1981-12-14,NaN,NaN,NaN
"NWT","alb",1981-12-15,NaN,NaN,NaN
"NWT","alb",1981-12-16,NaN,NaN,NaN
"NWT","alb",1981-12-17,NaN,NaN,NaN
"NWT","alb",1981-12-18,NaN,NaN,NaN
"NWT","alb",1981-12-19,NaN,NaN,NaN
"NWT","alb",1981-12-20,NaN,NaN,NaN
"NWT","alb",1981-12-21,NaN,NaN,NaN
"NWT","alb",1981-12-22,NaN,NaN,NaN
"NWT","alb",1981-12-23,NaN,NaN,NaN
"NWT","alb",1981-12-24,NaN,NaN,NaN
"NWT","alb",1981-12-25,NaN,NaN,NaN
"NWT","alb",1981-12-26,NaN,NaN,NaN
"NWT","alb",1981-12-27,NaN,NaN,NaN
"NWT","alb",1981-12-28,NaN,NaN,NaN
"NWT","alb",1981-12-29,NaN,NaN,NaN
"NWT","alb",1981-12-30,NaN,NaN,NaN
"NWT","alb",1981-12-31,NaN,NaN,NaN
"NWT","alb",1982-01-01,NaN,NaN,NaN
"NWT","alb",1982-01-02,NaN,NaN,NaN
"NWT","alb",1982-01-03,NaN,NaN,NaN
"NWT","alb",1982-01-04,NaN,NaN,NaN
"NWT","alb",1982-01-05,NaN,NaN,NaN
"NWT","alb",1982-01-06,NaN,NaN,NaN
"NWT","alb",1982-01-07,NaN,NaN,NaN
"NWT","alb",1982-01-08,NaN,NaN,NaN
"NWT","alb",1982-01-09,NaN,NaN,NaN
"NWT","alb",1982-01-10,NaN,NaN,NaN
"NWT","alb",1982-01-11,NaN,NaN,NaN
"NWT","alb",1982-01-12,NaN,NaN,NaN
"NWT","alb",1982-01-13,NaN,NaN,NaN
