"LTER_site","local_site","date","discharge","temperature","notes"
"NWT","sdl",1999-08-27,84,NaN,"indirect estimate not based on a complete logger record"
"NWT","sdl",1999-08-28,77,NaN,"indirect estimate not based on a complete logger record"
"NWT","sdl",1999-08-29,71,NaN,"indirect estimate not based on a complete logger record"
"NWT","sdl",1999-08-30,65,NaN,"indirect estimate not based on a complete logger record"
"NWT","sdl",1999-08-31,59,NaN,"indirect estimate not based on a complete logger record"
"NWT","sdl",1999-09-01,54,NaN,"indirect estimate not based on a complete logger record"
"NWT","sdl",1999-09-02,50,NaN,"indirect estimate not based on a complete logger record"
"NWT","sdl",1999-09-03,46,NaN,"indirect estimate not based on a complete logger record"
"NWT","sdl",1999-09-04,42,NaN,"indirect estimate not based on a complete logger record"
"NWT","sdl",1999-09-05,38,NaN,"indirect estimate not based on a complete logger record"
"NWT","sdl",1999-09-06,35,NaN,"indirect estimate not based on a complete logger record"
"NWT","sdl",1999-09-07,32,NaN,"indirect estimate not based on a complete logger record"
"NWT","sdl",1999-09-08,30,NaN,"indirect estimate not based on a complete logger record"
"NWT","sdl",1999-09-09,27,NaN,"indirect estimate not based on a complete logger record"
"NWT","sdl",1999-09-10,25,NaN,"indirect estimate not based on a complete logger record"
"NWT","sdl",1999-09-11,23,NaN,"indirect estimate not based on a complete logger record"
"NWT","sdl",1999-09-12,21,NaN,"indirect estimate not based on a complete logger record"
"NWT","sdl",1999-09-13,19,NaN,"indirect estimate not based on a complete logger record"
"NWT","sdl",1999-09-14,18,NaN,"indirect estimate not based on a complete logger record"
"NWT","sdl",1999-09-15,16,NaN,"indirect estimate not based on a complete logger record"
"NWT","sdl",1999-09-16,15,NaN,"indirect estimate not based on a complete logger record"
"NWT","sdl",1999-09-17,13,NaN,"indirect estimate not based on a complete logger record"
"NWT","sdl",1999-09-18,12,NaN,"indirect estimate not based on a complete logger record"
"NWT","sdl",1999-09-19,11,NaN,"indirect estimate not based on a complete logger record"
"NWT","sdl",1999-09-20,10,NaN,"indirect estimate not based on a complete logger record"
"NWT","sdl",1999-09-21,10,NaN,"indirect estimate not based on a complete logger record"
"NWT","sdl",1999-09-22,9,NaN,"indirect estimate not based on a complete logger record"
"NWT","sdl",1999-09-23,8,NaN,"indirect estimate not based on a complete logger record"
"NWT","sdl",1999-09-24,7,NaN,"indirect estimate not based on a complete logger record"
"NWT","sdl",1999-09-25,7,NaN,"indirect estimate not based on a complete logger record"
"NWT","sdl",1999-09-26,6,NaN,"indirect estimate not based on a complete logger record"
"NWT","sdl",1999-09-27,6,NaN,"indirect estimate not based on a complete logger record"
"NWT","sdl",1999-09-28,NaN,NaN,NaN
"NWT","sdl",1999-09-29,NaN,NaN,NaN
"NWT","sdl",1999-09-30,NaN,NaN,NaN
"NWT","sdl",1999-10-01,NaN,NaN,NaN
"NWT","sdl",1999-10-02,NaN,NaN,NaN
"NWT","sdl",1999-10-03,NaN,NaN,NaN
"NWT","sdl",1999-10-04,NaN,NaN,NaN
"NWT","sdl",1999-10-05,NaN,NaN,NaN
"NWT","sdl",1999-10-06,NaN,NaN,NaN
"NWT","sdl",1999-10-07,NaN,NaN,NaN
"NWT","sdl",1999-10-08,NaN,NaN,NaN
"NWT","sdl",1999-10-09,NaN,NaN,NaN
"NWT","sdl",1999-10-10,NaN,NaN,NaN
"NWT","sdl",1999-10-11,NaN,NaN,NaN
"NWT","sdl",1999-10-12,NaN,NaN,NaN
"NWT","sdl",1999-10-13,NaN,NaN,NaN
"NWT","sdl",1999-10-14,NaN,NaN,NaN
"NWT","sdl",1999-10-15,NaN,NaN,NaN
"NWT","sdl",1999-10-16,NaN,NaN,NaN
"NWT","sdl",1999-10-17,NaN,NaN,NaN
"NWT","sdl",1999-10-18,NaN,NaN,NaN
"NWT","sdl",1999-10-19,NaN,NaN,NaN
"NWT","sdl",1999-10-20,NaN,NaN,NaN
"NWT","sdl",1999-10-21,NaN,NaN,NaN
"NWT","sdl",1999-10-22,NaN,NaN,NaN
"NWT","sdl",1999-10-23,NaN,NaN,NaN
"NWT","sdl",1999-10-24,NaN,NaN,NaN
"NWT","sdl",1999-10-25,NaN,NaN,NaN
"NWT","sdl",1999-10-26,NaN,NaN,NaN
"NWT","sdl",1999-10-27,NaN,NaN,NaN
"NWT","sdl",1999-10-28,NaN,NaN,NaN
"NWT","sdl",1999-10-29,NaN,NaN,NaN
