siteId,labno,dateOn,dateOff,yrmonth,ph,Conduc,flagCa,Ca,flagMg,Mg,flagK,K,flagNa,na,flagNH4,NH4,flagNO3,NO3,flagCl,Cl,flagSO4,SO4,svol,ppt,subppt,valcode,invalcode,modifiedOn
CO98,NB8344OW,"1983-08-16 16:00","1983-08-23 16:30",198308,4.560,16.100," ",.300," ",.035," ",.069," ",.068," ",.280," ",1.890," ",.140," ",1.360,904.800,13.210,13.210,"w ","            ",1984-09-11
CO98,NB8615OW,"1983-08-23 16:30","1983-08-30 16:30",198308,4.490,19.000," ",.450," ",.046," ",.052," ",.099," ",.360," ",1.830," ",.150," ",2.080,319.600,6.350,6.350,"w ","            ",1984-09-11
CO98,NB8580OW,"1983-08-30 16:30","1983-09-06 16:30",198309,4.750,10.000," ",.180," ",.022," ",.026," ",.055," ",.120," ",.890," ",.120," ",.890,1476.400,23.370,23.370,"w ","            ",1984-09-11
CO98,NB8665OW,"1983-09-06 16:30","1983-09-13 16:30",198309,4.720,13.600," ",.380," ",.046," ",.037," ",.137," ",.270," ",1.290," ",.180," ",1.520,236.200,3.560,3.560,"w ","            ",1984-09-11
CO98,NB8728OW,"1983-09-13 16:30","1983-09-20 16:30",198309,5.770,10.100," ",.780," ",.101," ",.056," ",.114," ",.370," ",1.480," ",.150," ",1.780,779.000,14.730,14.730,"w ","            ",1984-09-11
CO98,NB8923OW,"1983-09-20 16:30","1983-09-27 16:30",198309,5.500,4.600," ",.180," ",.030," ",.025," ",.067," ",.100," ",.590," ",.090," ",.560,389.200,5.080,5.080,"w ","            ",1986-09-25
CO98,NB9152OW,"1983-09-27 16:30","1983-10-04 16:30",198309,5.300,5.700," ",.260," ",.049," ",.040," ",.082,<,.020," ",.690," ",.130," ",.800,-9.000,14.730,14.730,"w ","            ",1984-10-18
CO98,NB9176OW,"1983-10-04 16:30","1983-10-11 17:00",198310,4.700,11.400," ",.130," ",.023," ",.014," ",.028," ",.130," ",.680," ",.090," ",1.060,1351.900,24.380,24.380,"w ","            ",1984-10-18
CO98,NB9477OW,"1983-10-11 17:00","1983-10-18 16:30",198310,5.170,6.300," ",.140," ",.024," ",.009," ",.075,<,.020," ",.410," ",.070," ",.790,301.400,25.400,25.400,"w ","            ",1984-10-18
CO98,NB9457OW,"1983-10-18 16:30","1983-10-25 17:00",198310,4.860,12.200," ",.100," ",.021," ",.008," ",.061," ",.110," ",.530," ",.090," ",1.380,494.700,-9.990,7.286,"w ","            ",1984-10-18
CO98,NB9631OW,"1983-10-25 17:00","1983-11-01 18:00",198310,4.370,34.800," ",.500," ",.137," ",.267," ",.420," ",.170," ",1.680," ",.450," ",4.610,72.500,-9.990,1.067,"w ","            ",1984-10-18
CO98,NB9728OW,"1983-11-01 18:00","1983-11-08 18:00",198311,-9.000,-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000,<,-9.000," ",-9.000," ",-9.000,<,-9.000,963.500,-9.990,14.192,"  ","u           ",1984-10-18
CO98,NB9975OW,"1983-11-08 18:00","1983-11-15 18:00",198311,5.340,2.800," ",.090," ",.008," ",.007," ",.017," ",.030," ",.230," ",.060," ",.450,1197.200,52.070,52.070,"w ","            ",1984-10-18
CO98,NB9892OW,"1983-11-15 18:00","1983-11-22 20:00",198311,5.250,3.600," ",.060," ",.012," ",.041," ",.028," ",.030," ",.330," ",.080," ",.400,1013.800,41.400,41.400,"w ","            ",1984-10-18
CO98,NC0127OW,"1983-11-22 20:00","1983-11-29 18:30",198311,5.320,3.000," ",.030," ",.007,<,.003," ",.008," ",.050," ",.270," ",.070," ",.550,1244.800,46.230,46.230,"w ","            ",1984-10-19
CO98,NC0246OW,"1983-11-29 18:30","1983-12-06 18:30",198312,5.210,3.600," ",.070," ",.019," ",.006," ",.044,<,.020," ",.410," ",.070," ",.660,373.900,33.530,33.530,"w ","            ",1984-10-24
CO98,NC0390OW,"1983-12-06 18:30","1983-12-13 18:30",198312,-9.000,-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000,32.400,-9.990,.477,"  ","u           ",1984-10-19
CO98,NC0511OW,"1983-12-13 18:30","1983-12-20 18:30",198312,4.910,12.400," ",.310," ",.098," ",.055," ",.190,<,.020," ",1.480," ",.190," ",1.080,57.700,-9.990,.849,"w ","            ",1984-10-19
CO98,NC0626OW,"1983-12-20 18:30","1983-12-27 18:30",198312,6.070,10.400," ",.360," ",.099," ",.062," ",.234," ",.410," ",.740," ",.330,<,.410,20.300,-9.990,.299,wa,"            ",1984-10-19
CO98,NC0690OW,"1983-12-27 18:30","1984-01-03 18:30",198312,-9.000,-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000,<,-9.000," ",-9.000,<,-9.000," ",-9.000,429.800,18.290,18.290,"  ","u           ",1984-10-19
CO98,NC0930OW,"1984-01-03 18:30","1984-01-10 18:30",198401,5.880,9.900," ",.410," ",.123," ",.228," ",.331,<,.020," ",1.000," ",.360," ",1.310,41.800,1.270,1.270,"w ","            ",1984-10-19
CO98,NC1072OW,"1984-01-10 18:30","1984-01-17 18:30",198401,5.460,5.000," ",.110," ",.040," ",.033," ",.127," ",.060," ",.900," ",.110," ",.610,423.700,14.730,14.730,"w ","            ",1984-10-19
CO98,NC1297OW,"1984-01-17 18:30","1984-01-24 18:30",198401,-9.000,-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000,3.300,2.790,2.790,"  ","v           ",1985-02-01
CO98,NC1372OW,"1984-01-24 18:30","1984-01-31 18:30",198401,6.070,6.600," ",.260," ",.085," ",.082," ",.296,<,.020," ",.220," ",.270," ",.530,-9.000,7.870,7.870,"w ","            ",1986-09-25
CO98,NC1519OW,"1984-01-31 18:30","1984-02-07 18:30",198402,-9.000,-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000,<,-9.000," ",-9.000," ",-9.000,.000,-9.990,.000,"d ","            ",1986-09-25
CO98,NC1735OW,"1984-02-07 18:30","1984-02-14 18:30",198402,5.360,8.100," ",.500," ",.067," ",.025," ",.224," ",.090," ",1.740," ",.170," ",.710,187.500,11.680,11.680,"w ","            ",1985-02-01
CO98,NC1852OW,"1984-02-14 18:30","1984-02-21 18:30",198402,5.460,7.500," ",.240," ",.032," ",.023," ",.133," ",.220," ",1.050," ",.180," ",.890,176.800,6.860,6.860,"w ","            ",1985-02-01
CO98,NC1906OW,"1984-02-21 18:30","1984-02-28 18:30",198402,5.730,3.900," ",.120," ",.017," ",.006," ",.040," ",.090," ",.500," ",.060," ",.500,899.400,17.020,17.020,"w ","            ",1985-02-01
CO98,NC2150OW,"1984-02-28 18:30","1984-03-06 18:30",198403,5.970,5.100," ",.420," ",.064," ",.011," ",.110," ",.070," ",.650," ",.110," ",.600,278.100,7.620,7.620,"w ","            ",1985-02-01
CO98,NC2269OW,"1984-03-06 18:30","1984-03-13 18:30",198403,5.540,4.700," ",.170," ",.050," ",.012," ",.091," ",.060," ",.360," ",.030," ",.590,158.200,17.780,17.780,"w ","            ",1985-02-01
CO98,NC2325OW,"1984-03-13 18:30","1984-03-20 18:30",198403,6.420,6.800," ",.440," ",.046," ",.024," ",.080," ",.390," ",.990,<,.020," ",.670,845.700,23.370,23.370,"w ","            ",1985-02-01
CO98,NC2565OW,"1984-03-20 18:30","1984-03-27 18:30",198403,5.110,5.900," ",.070," ",.010,<,.003," ",.011," ",.170," ",.860,<,.020," ",.470,1850.800,37.850,37.850,"w ","            ",1985-02-01
CO98,NC2697OW,"1984-03-27 18:30","1984-04-03 18:30",198403,5.100,7.800," ",.130," ",.023," ",.008," ",.040," ",.280," ",.980," ",.080," ",.870,1041.100,24.380,24.380,"w ","            ",1985-02-01
CO98,NC2843OW,"1984-04-03 18:30","1984-04-10 18:30",198404,5.300,5.600," ",.150," ",.030," ",.006," ",.057," ",.140," ",.720," ",.050," ",.630,604.300,13.720,13.720,"w ","            ",1985-02-01
CO98,NC3003OW,"1984-04-10 18:30","1984-04-17 18:30",198404,5.850,2.900," ",.160," ",.022," ",.010," ",.057,<,.020," ",.240," ",.070," ",.740,576.500,33.530,33.530,"w ","            ",1985-02-01
CO98,NC3166OW,"1984-04-17 18:30","1984-04-24 18:30",198404,5.130,6.300," ",.150," ",.041," ",.011," ",.045," ",.210," ",.680," ",.050," ",.730,2286.500,73.910,73.910,"w ","            ",1985-02-01
CO98,NC3353OW,"1984-04-24 18:30","1984-05-01 17:30",198404,5.390,5.700," ",.240," ",.039," ",.016," ",.049," ",.180," ",.780," ",.090," ",.840,1272.800,42.160,42.160,"w ","            ",1985-02-01
CO98,NC3572OW,"1984-05-01 17:30","1984-05-08 17:30",198405,5.620,2.300," ",.060," ",.019," ",.005," ",.020," ",.060," ",.220," ",.100," ",.310,1264.500,52.580,52.580,"w ","            ",1985-02-01
CO98,NC3641OW,"1984-05-08 17:30","1984-05-15 17:30",198405,5.190,24.700," ",1.340," ",.234," ",.082," ",.430," ",.840," ",3.770," ",.340," ",4.010,130.200,1.780,1.780,"w ","            ",1985-02-01
CO98,NC3751OW,"1984-05-15 17:30","1984-05-22 17:30",198405,-9.000,-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000,88.200,2.290,2.290,"  ","c           ",1985-02-01
CO98,NC3924OW,"1984-05-22 17:30","1984-05-29 17:30",198405,5.570,5.900," ",.290," ",.046," ",.048," ",.067," ",.160," ",.820," ",.120," ",.740,1999.200,29.460,29.460,"w ","            ",1985-03-14
CO98,NC4033OW,"1984-05-29 17:30","1984-06-05 17:30",198406,5.270,8.300," ",.340," ",.103," ",.049," ",.059," ",.280," ",.770," ",.130," ",1.200,1624.900,25.150,25.150,"w ","            ",1985-03-14
CO98,NC4261OW,"1984-06-05 17:30","1984-06-12 17:00",198406,5.230,3.900," ",.060," ",.010," ",.014," ",.026," ",.080," ",.330," ",.090," ",.360,2744.800,60.960,60.960,"w ","            ",1985-03-14
CO98,NC4382OW,"1984-06-12 17:00","1984-06-19 17:00",198406,4.790,13.200," ",.300," ",.052," ",.054," ",.094," ",.220," ",1.110," ",.190," ",1.740,667.200,9.910,9.910,"w ","            ",1985-03-14
CO98,NC4591OW,"1984-06-19 17:00","1984-06-26 16:00",198406,5.050,10.700," ",.440," ",.069," ",.128," ",.113," ",.130," ",1.120," ",.180," ",1.300,253.300,1.020,1.020,"w ","            ",1985-03-14
CO98,NC4729OW,"1984-06-26 16:00","1984-07-03 17:00",198406,4.990,8.500," ",.120," ",.031," ",.061," ",.024,<,.020," ",.670," ",.100," ",.810,978.700,13.970,13.970,"w ","            ",1985-03-14
CO98,NC5040OW,"1984-07-03 17:00","1984-07-10 17:00",198407,4.860,9.800," ",.250," ",.037," ",.060," ",.036," ",.130," ",.860," ",.110," ",1.040,1289.600,19.050,19.050,"w ","            ",1985-03-14
CO98,NC5102OW,"1984-07-10 17:00","1984-07-17 17:00",198407,-9.000,-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000,517.500,11.940,11.940,"  ","c           ",1985-03-14
CO98,NC5306OW,"1984-07-17 17:00","1984-07-24 17:00",198407,-9.000,-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000,2263.200,38.610,38.610,"  ","c           ",1985-04-04
CO98,NC5522OW,"1984-07-24 17:00","1984-07-31 17:00",198407,4.810,8.600," ",.050," ",.011," ",.017," ",.021," ",.120," ",.730," ",.110," ",.690,2757.300,40.130,40.130,"w ","            ",1985-04-04
CO98,NC5514OW,"1984-07-31 17:00","1984-08-07 17:00",198408,4.920,7.700," ",.080," ",.016," ",.020," ",.027," ",.170," ",.820," ",.090," ",.650,1055.700,12.950,12.950,"w ","            ",1985-04-04
CO98,NC5653OW,"1984-08-07 17:00","1984-08-14 17:00",198408,-9.000,-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000,136.000,8.640,8.640,"  ","c           ",1985-04-04
CO98,NC5816OW,"1984-08-14 17:00","1984-08-21 16:30",198408,4.770,8.700," ",.060," ",.020," ",.013," ",.039," ",.100," ",.880," ",.110," ",.650,1779.400,24.890,24.890,"w ","            ",1986-09-25
CO98,NC6230OW,"1984-08-21 16:30","1984-08-28 17:15",198408,4.880,6.700," ",.040," ",.011," ",.016," ",.022," ",.030," ",.490," ",.060," ",.460,1298.900,24.640,24.640,"w ","            ",1986-09-25
CO98,NC6268OW,"1984-08-28 17:15","1984-09-04 17:00",198408,4.860,8.800," ",.150," ",.024," ",.014," ",.026," ",.100," ",.790," ",.070," ",.840,2326.300,34.800,34.800,"w ","            ",1985-04-04
CO98,NC6427OW,"1984-09-04 17:00","1984-09-11 17:00",198409,-9.000,-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000,<,-9.000," ",-9.000," ",-9.000," ",-9.000,448.300,14.220,14.220,"  ","c           ",1985-04-04
CO98,NC6640OW,"1984-09-11 17:00","1984-09-18 17:00",198409,4.830,9.200," ",.120," ",.020," ",.012," ",.040," ",.120," ",.790," ",.080," ",.870,1610.400,26.920,26.920,"w ","            ",1985-04-04
CO98,NC6838OW,"1984-09-18 17:00","1984-09-25 17:00",198409,5.790,7.400," ",.620," ",.060," ",.033," ",.058," ",.190," ",.910," ",.110," ",1.250,1386.900,-9.990,20.428,"w ","            ",1985-06-28
CO98,NC7437OW,"1984-09-25 17:00","1984-10-02 17:00",198409,4.860,12.000," ",.280," ",.061," ",.026," ",.135," ",.250," ",1.220," ",.260," ",1.060,522.300,-9.990,7.693,"w ","            ",1985-06-28
CO98,NC7460OW,"1984-10-02 17:00","1984-10-09 17:00",198410,5.000,6.700," ",.060," ",.006," ",.004," ",.017," ",.180," ",.610," ",.040," ",.610,3118.000,46.480,46.480,"w ","            ",1985-06-28
CO98,NC7472OW,"1984-10-09 17:00","1984-10-16 19:45",198410,-9.000,-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000,2187.900,57.150,57.150,"  ","f           ",1985-06-28
CO98,NC7445OW,"1984-10-16 19:45","1984-10-23 17:00",198410,4.990,6.300," ",.070," ",.021," ",.014," ",.040,<,.020," ",.570," ",.050," ",.420,827.500,35.810,35.810,"w ","            ",1985-06-28
CO98,NC7634OW,"1984-10-23 17:00","1984-10-30 18:00",198410,-9.000,-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000,-9.000,19.560,19.560,"  ","v           ",1985-06-28
CO98,NC7808OW,"1984-10-30 18:00","1984-11-06 18:00",198411,-9.000,-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000,<,-9.000," ",-9.000," ",-9.000," ",-9.000,.000,9.650,9.650,"  ","vc          ",1985-06-28
CO98,NC7970OW,"1984-11-06 18:00","1984-11-13 18:00",198411,5.210,10.400," ",.380," ",.137," ",.035," ",.420," ",.070," ",1.280," ",.310," ",1.380,78.500,10.920,10.920,"w ","            ",1985-06-28
CO98,NC8249OW,"1984-11-13 18:00","1984-11-20 18:00",198411,5.410,13.600," ",.760," ",.173," ",.165," ",.411," ",.130," ",2.040," ",.380," ",1.830,67.700,6.100,6.100,"w ","            ",1985-06-28
CO98,NC8423OW,"1984-11-20 18:00","1984-11-27 18:00",198411,6.500,25.000," ",.770," ",.406," ",.158," ",1.404,<,.140," ",1.580," ",.830," ",2.270,13.900,4.570,4.570,wa,"            ",1985-06-28
CO98,NC8535OW,"1984-11-27 18:00","1984-12-04 18:00",198411,5.760,5.400," ",.230," ",.101," ",.025," ",.221," ",.030," ",.470," ",.160," ",.760,230.300,24.130,24.130,"w ","            ",1985-06-28
CO98,NC8670OW,"1984-12-04 18:00","1984-12-11 18:00",198412,6.070,12.500," ",.670," ",.288," ",.068," ",.565,<,.020," ",.670," ",.360," ",1.930,46.700,8.380,8.380,"w ","            ",1985-06-28
CO98,NC8830OW,"1984-12-11 18:00","1984-12-18 18:00",198412,5.220,4.300," ",.040," ",.013," ",.006," ",.023,<,.020," ",.320,<,.020," ",.320,830.200,42.420,42.420,"w ","            ",1985-06-28
CO98,NC9082OW,"1984-12-18 18:00","1984-12-26 18:00",198412,-9.000,-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000,2.900,12.950,12.950,"  ","v           ",1988-10-13
CO98,NC9081OW,"1984-12-26 18:00","1985-01-02 18:00",198412,-9.000,-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000,5.900,14.730,14.730,"  ","v           ",1988-10-13
CO98,NC9370OW,"1985-01-02 18:00","1985-01-08 19:00",198501,6.650,16.500," ",.840," ",.445," ",.097," ",.850,<,.070," ",.900," ",.700," ",1.540,31.000,7.370,7.370,wa,"            ",1988-10-13
CO98,NC9495OW,"1985-01-08 19:00","1985-01-15 18:30",198501,-9.000,-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000,90.900,8.890,8.890,"  ","c           ",1985-09-16
CO98,NC9997OW,"1985-01-15 18:30","1985-01-22 18:00",198501,5.250,4.300," ",.080," ",.027," ",.033," ",.078,<,.020," ",.380," ",.090," ",.540,659.800,41.660,41.660,"w ","            ",1985-09-16
CO98,ND0034OW,"1985-01-22 18:00","1985-01-29 18:00",198501,5.560,5.900," ",.200," ",.095," ",.015," ",.151,<,.020," ",.690," ",.190," ",.690,60.000,7.620,7.620,"w ","            ",1985-10-18
CO98,ND0096OW,"1985-01-29 18:00","1985-02-05 18:00",198502,-9.000,-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000,33.400,21.590,21.590,"  ","vf          ",1985-10-18
CO98,ND0479OW,"1985-02-05 18:00","1985-02-12 18:00",198502,5.350,4.900," ",.330," ",.051," ",.023," ",.122,<,.020," ",.070," ",.120," ",.280,417.600,26.670,26.670,"w ","            ",1988-09-09
CO98,ND0464OW,"1985-02-12 18:00","1985-02-19 18:00",198502,5.630,5.400," ",.140," ",.031," ",.036," ",.073,<,.020," ",.410," ",.180," ",.750,45.600,7.370,7.370,"w ","            ",1985-10-18
CO98,ND0691OW,"1985-02-19 18:00","1985-02-26 18:00",198502,5.240,3.900," ",.050," ",.007," ",.004," ",.020,<,.020," ",.340," ",.050," ",.290,978.700,22.860,22.860,"w ","            ",1985-10-18
CO98,ND0894OW,"1985-02-26 18:00","1985-03-05 18:00",198503,5.730,5.300," ",.390," ",.047," ",.017," ",.097,<,.020," ",.600," ",.080," ",.670,222.100,24.640,24.640,"w ","            ",1985-12-16
CO98,ND0997OW,"1985-03-05 18:00","1985-03-12 17:00",198503,6.080,5.300," ",.530," ",.057," ",.020," ",.080,<,.020," ",.580," ",.090," ",.740,415.400,25.400,25.400,"w ","            ",1985-12-16
CO98,ND1271OW,"1985-03-12 17:00","1985-03-19 18:00",198503,5.310,8.800," ",.260," ",.032," ",.024," ",.050," ",.370," ",1.460," ",.090," ",1.040,-9.000,16.260,16.260,"w ","            ",1985-12-16
CO98,ND1416OW,"1985-03-19 18:00","1985-03-26 18:00",198503,6.060,20.900," ",1.630," ",.180," ",.107," ",.373," ",.670," ",3.520," ",.440," ",2.860,87.700,16.000,16.000,"w ","            ",1985-12-16
CO98,ND1641OW,"1985-03-26 18:00","1985-04-02 18:00",198503,5.630,3.200," ",.080," ",.012," ",.010," ",.025," ",.040," ",.310," ",.050," ",.330,1652.200,62.740,62.740,"w ","            ",1985-12-16
CO98,ND1870OW,"1985-04-02 18:00","1985-04-09 18:00",198504,6.030,4.900," ",.310," ",.051," ",.025," ",.076," ",.130," ",.630," ",.140," ",.650,336.700,31.240,31.240,"w ","            ",1985-12-16
CO98,ND1953OW,"1985-04-09 18:00","1985-04-16 18:00",198504,5.590,31.400," ",1.300," ",.166," ",.117," ",.358," ",1.880," ",4.870," ",.570," ",3.240,36.200,4.570,4.570,"w ","            ",1985-12-16
CO98,ND2221OW,"1985-04-16 18:00","1985-04-23 18:00",198504,5.580,7.400," ",.380," ",.058," ",.214," ",.257,<,.020," ",.760," ",.390," ",.820,806.200,40.890,40.890,"w ","            ",1985-12-16
CO98,ND2394OW,"1985-04-23 18:00","1985-04-30 17:00",198504,5.220,5.100," ",.160," ",.021," ",.021," ",.051," ",.140," ",.640," ",.090," ",.600,1541.200,31.500,31.500,"w ","            ",1986-02-13
CO98,ND2602OW,"1985-04-30 17:00","1985-05-07 17:00",198505,5.470,8.400," ",.360," ",.049," ",.054," ",.092," ",.340," ",1.090," ",.130," ",1.290,1141.100,20.070,20.070,"w ","            ",1986-02-13
CO98,ND2746OW,"1985-05-07 17:00","1985-05-14 17:00",198505,4.990,6.600," ",.160," ",.025," ",.014," ",.025," ",.080," ",.560," ",.050," ",.730,731.400,21.590,21.590,"w ","            ",1986-09-24
CO98,ND3142OW,"1985-05-14 17:00","1985-05-21 17:00",198505,4.710,14.200," ",.220," ",.033," ",.020," ",.050," ",.270," ",1.540," ",.160," ",1.300,844.900,15.240,15.240,"w ","            ",1986-09-24
CO98,ND3156OW,"1985-05-21 17:00","1985-05-28 17:00",198505,4.400,28.500," ",.590," ",.068," ",.069," ",.122," ",.720," ",3.620," ",.240," ",2.520,294.300,9.910,9.910,"w ","            ",1986-09-24
CO98,ND3312OW,"1985-05-28 17:00","1985-06-04 17:00",198505,5.560,11.100," ",.800," ",.098," ",.094," ",.167," ",.040," ",1.750," ",.290," ",1.500,431.800,6.350,6.350,"w ","            ",1986-09-26
CO98,ND3554OW,"1985-06-04 17:00","1985-06-11 17:00",198506,-9.000,-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000,491.400,9.910,9.910,"  ","c           ",1986-09-24
CO98,ND3714OW,"1985-06-11 17:00","1985-06-18 17:00",198506,-9.000,-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000,341.500,9.650,9.650,"  ","c           ",1986-09-24
CO98,ND3897OW,"1985-06-18 17:00","1985-06-25 17:00",198506,4.790,10.100," ",.190," ",.030," ",.087," ",.042," ",.130," ",.870," ",.090," ",.960,1241.900,18.800,18.800,"w ","            ",1986-09-24
CO98,ND4074OW,"1985-06-25 17:00","1985-07-02 17:00",198506,4.800,11.300," ",.230," ",.041," ",.122," ",.057," ",.150," ",1.030," ",.120," ",1.070,919.300,20.830,20.830,"w ","            ",1986-02-27
CO98,ND4295OW,"1985-07-02 17:00","1985-07-09 17:00",198507,4.840,22.900," ",1.010," ",.144," ",.320," ",.142," ",.820," ",3.430," ",.490," ",2.990,151.700,2.540,2.540,"w ","            ",1986-09-30
CO98,ND4466OW,"1985-07-09 17:00","1985-07-16 17:00",198507,4.570,22.600," ",.370," ",.069," ",.243," ",.067," ",.760," ",2.540," ",.240," ",2.350,424.000,11.680,11.680,"w ","            ",1986-09-30
CO98,ND4716OW,"1985-07-16 17:00","1985-07-23 17:00",198507,4.930,7.200," ",.050," ",.015," ",.016," ",.019," ",.070," ",.500," ",.110," ",.450,2136.300,32.770,32.770,"w ","            ",1986-09-24
CO98,ND4815OW,"1985-07-23 17:35","1985-07-30 17:00",198507,4.720,12.300," ",.100," ",.015," ",.018," ",.016," ",.210," ",1.230," ",.080," ",.820,1012.700,16.510,16.510,"w ","            ",1986-09-24
CO98,ND5301OW,"1985-07-30 17:00","1985-08-06 17:00",198508,4.570,22.700," ",.660," ",.124," ",.066," ",.211," ",.400," ",2.780," ",.340," ",2.400,197.100,5.080,5.080,"w ","            ",1986-09-24
CO98,ND5305OW,"1985-08-06 17:00","1985-08-13 17:00",198508,5.070,8.100," ",.260," ",.053," ",.025," ",.072," ",.140," ",1.030," ",.130," ",.820,668.400,14.730,14.730,"w ","            ",1986-09-24
CO98,ND5469OW,"1985-08-13 17:00","1985-08-20 17:00",198508,4.630,20.800," ",.700," ",.114," ",.044," ",.196," ",.240," ",1.880," ",.300," ",2.650,210.400,4.060,4.060,"w ","            ",1986-09-24
CO98,ND5702OW,"1985-08-20 17:00","1985-08-27 17:00",198508,-9.000,-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000,<,-9.000," ",-9.000," ",-9.000," ",-9.000,15.000,7.620,7.620,"  ","c           ",1986-10-15
CO98,ND5897OW,"1985-08-27 17:00","1985-09-03 17:00",198508,4.740,16.900," ",.440," ",.081," ",.051," ",.083," ",.330," ",1.990," ",.150," ",1.690,1001.300,19.810,19.810,"w ","            ",1986-09-24
CO98,ND6071OW,"1985-09-03 17:00","1985-09-10 17:00",198509,4.980,7.900," ",.150," ",.028," ",.010," ",.056," ",.220," ",.880," ",.080," ",.740,1354.700,24.640,24.640,"w ","            ",1986-09-24
CO98,ND6391OW,"1985-09-10 17:00","1985-09-17 17:00",198509,4.580,16.500," ",.130," ",.028," ",.012," ",.018," ",.240," ",1.330," ",.050," ",1.590,802.200,18.290,18.290,"w ","            ",1986-09-24
CO98,ND6450OW,"1985-09-17 17:00","1985-09-24 17:00",198509,4.690,11.800," ",.100," ",.022," ",.014," ",.034,<,.020," ",.700," ",.070," ",1.040,835.300,22.350,22.350,"w ","            ",1986-09-24
CO98,ND6659OW,"1985-09-24 17:00","1985-10-01 17:00",198509,5.190,4.800," ",.150," ",.022," ",.016," ",.020,<,.020," ",.390," ",.060," ",.490,1958.700,40.390,40.390,"w ","            ",1986-09-24
CO98,ND6761OW,"1985-10-01 17:00","1985-10-08 17:00",198510,-9.000,-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000,<,-9.000,<,-9.000," ",-9.000," ",-9.000,1026.000,-9.990,15.112,"  ","u           ",1986-09-24
CO98,ND7030OW,"1985-10-08 17:00","1985-10-15 17:00",198510,5.000,5.600," ",.040," ",.012," ",.005," ",.017,<,.020," ",.460,<,.030," ",.390,1434.100,31.750,31.750,"w ","            ",1986-09-24
CO98,ND7232OW,"1985-10-15 17:00","1985-10-22 17:00",198510,5.060,16.800," ",.510," ",.136," ",.063," ",.198,<,.210," ",1.670,<,.310," ",1.670,10.000,3.300,3.300,wa,"            ",1986-10-15
CO98,ND7427OW,"1985-10-22 17:00","1985-10-29 18:00",198510,-9.000,-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000,6.900,.510,.510,"  ","v           ",1986-07-09
CO98,ND7606OW,"1985-10-29 18:00","1985-11-05 18:00",198511,5.240,7.100," ",.150," ",.063," ",.005," ",.039,<,.020," ",.140," ",.110," ",.710,56.100,7.370,7.370,"w ","            ",1986-09-24
CO98,ND7778OW,"1985-11-05 18:00","1985-11-12 18:40",198511,5.340,3.800," ",.070," ",.016,<,.003," ",.028,<,.020,<,.030,<,.030," ",.240,1492.300,88.140,88.140,"w ","            ",1986-09-24
CO98,ND8007OW,"1985-11-12 18:40","1985-11-19 18:00",198511,4.870,7.100," ",.040," ",.008," ",.004," ",.016,<,.020," ",.430,<,.030," ",.240,969.000,35.560,35.560,"w ","            ",1992-08-13
CO98,ND8172OW,"1985-11-19 18:00","1985-11-26 18:00",198511,-9.000,-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000,<,-9.000," ",-9.000," ",-9.000," ",-9.000,69.000,59.690,59.690,"  ","u           ",1986-09-24
